bureau,fund,personnel,external_ms,internal_ms,capital_outlay,total
Bureau of Emergency Communications,Emergency Communication Fund,27464876,2509498,7234327,0,37208701
Bureau of Fleet & Facilities,Environmental Remediation Fund,804114,6361713,2057798,0,9223625
Bureau of Fleet & Facilities,Grants Fund,0,200000,0,0,200000
Bureau of Fleet & Facilities,PDX Clean Energy Fund,0,0,0,0,0
Bureau of Fleet & Facilities,Sewer System Construction Fund,0,0,0,0,0
Bureau of Fleet & Facilities,Sewer System Debt Redemption Fund,0,0,0,0,0
Bureau of Fleet & Facilities,Sewer System Operating Fund,128864038,119067086,71218328,163018473,482167925
Bureau of Fleet & Facilities,Sewer System Rate Stabilization Fund,0,0,0,0,0
Bureau of Fleet & Facilities,CityFleet Operating Fund,14239724,27084385,3509638,55758744,100592491
Bureau of Fleet & Facilities,Facilities Services Operating Fund,10376584,18239493,7356392,12919219,48891688
Bureau of Fleet & Facilities,PDX Clean Energy Fund,402236,3199837,1007770,24981197,29591040
Bureau of Human Resources,General Fund,17047184,1565536,3000323,0,21613043
Bureau of Human Resources,Health Insurance Operating Fund,3093190,158725747,711681,0,162530618
Bureau of Human Resources,PDX Clean Energy Fund,250000,0,0,0,250000
Bureau of Human Resources,Portland Police Assoc Health Insurnc Fund,0,21577165,0,0,21577165
Bureau of Planning & Sustainability,Community Solar Fund,0,0,0,0,0
Bureau of Planning & Sustainability,General Fund,12420016,5553101,154648,0,18127765
Bureau of Planning & Sustainability,Grants Fund,2596023,304260,181835,0,3082118
Bureau of Planning & Sustainability,PDX Clean Energy Fund,12869297,167297194,5535601,0,185702092
Bureau of Planning & Sustainability,Solid Waste Management Fund,3765943,6240471,2591624,0,12598038
City Administrator,Printing & Distribution Services Operating Fund,1649176,2754335,940155,73075,5416741
City Administrator,Technology Services Fund,55230290,33270271,5807558,0,94308119
City Administrator,Facilities Services Operating Fund,0,0,0,0,0
City Administrator,General Fund,8736846,28348521,2784044,0,39869411
City Administrator,Grants Fund,0,54023154,0,0,54023154
City Administrator,PDX Clean Energy Fund,427634,22366,0,0,450000
City Budget Office,General Fund,3275658,604497,399472,0,4279627
City Budget Office,PDX Clean Energy Fund,0,0,157500,0,157500
Council,General Fund,12215578,3916917,3415959,0,19548454
Fire & Police Disability & Retirement,Fire & Police Disability & Retirement Fund,3625001,177236845,59986776,165001,241013623
Fire & Police Disability & Retirement,Fire & Police Disability & Retirement Res Fund,0,0,0,0,0
Fund and Debt Management,82nd Ave Area TIF District Debt,0,0,0,0,0
Fund and Debt Management,Bonded Debt Interest and Sinking Fund,0,0,0,0,0
Fund and Debt Management,Central East Corridor TIF Debt Service,0,0,0,0,0
Fund and Debt Management,Citywide Obligations Reserve Fund,0,0,0,0,0
Fund and Debt Management,Cully Tax Increment Fin Dist Debt Svc,0,0,0,0,0
Fund and Debt Management,East 205 TIF District Debt Service,0,0,0,0,0
Fund and Debt Management,Gateway URA Debt Redemption Fund,0,0,0,0,0
Fund and Debt Management,General Fund,0,0,0,0,0
Fund and Debt Management,General Reserve Fund,0,0,0,0,0
Fund and Debt Management,Governmental Bond Redemption Fund,0,0,0,0,0
Fund and Debt Management,Lloyd-Holladay TIF District Debt Service,0,0,0,0,0
Fund and Debt Management,North Macadam URA Debt Redemption Fund,0,0,0,0,0
Fund and Debt Management,Pension Debt Redemption Fund,0,0,0,0,0
Fund and Debt Management,Recreational Cannabis Tax Fund,0,0,0,0,0
Fund and Debt Management,Special Finance and Resource Fund,0,26485000,0,0,26485000
Fund and Debt Management,Special Projects Debt Service Fund,0,29000,0,0,29000
Fund and Debt Management,Sumner-Parkrose-Argay-Columbia TIF Debt,0,0,0,0,0
Fund and Debt Management,Westside TIF District Debt Service,0,0,0,0,0
Office of City Operations,Citywide Obligations Reserve Fund,0,0,0,0,0
Office of City Operations,Facilities Services Operating Fund,691499,7229911,765480,160000,8846890
Office of City Operations,General Fund,27792999,4130423,3898672,0,35822094
Office of City Operations,Grants Fund,1827970,0,1725,0,1829695
Office of Community and Civic Life,Cannabis Licensing Fund,0,0,0,0,0
Office of Community and Civic Life,General Fund,1593107,2719686,756062,0,5068855
Office of Community and Econ Development,Arts Education & Access Fund,156388,5430241,1725,0,5588354
Office of Community and Econ Development,General Fund,2007232,3820177,129188,0,5956597
Office of Community and Econ Development,Spectator Venues & Visitor Activities Fund,657310,7879021,637441,35054000,44227772
Office of Community-Based Police Accountability,General Fund,1677014,250000,177100,0,2104114
Accountability Subtotal,,1677014,250000,177100,0,2104114
Office of Equity,General Fund,2668361,75583,499054,0,3242998
Office of Government Relations,General Fund,2118508,461865,449517,0,3029890
Office of Public Works,General Fund,2334664,5243,47226,0,2387133
Office of Public Works,Recreational Cannabis Tax Fund,216812,0,0,0,216812
Office of the Chief Financial Officer,Arts Education & Access Fund,0,8743000,1866854,0,10609854
Office of the Chief Financial Officer,Assessment Collection Fund,0,0,0,0,0
Office of the Chief Financial Officer,Bancroft Bond Interest and Sinking Fund,0,0,0,0,0
Office of the Chief Financial Officer,Citywide Obligations Reserve Fund,688000,599918,9877832,0,11165750
Office of the Chief Financial Officer,Convention and Tourism Fund,0,22636051,770949,0,23407000
Office of the Chief Financial Officer,General Fund,31512938,13611674,6326116,0,51450728
Office of the Chief Financial Officer,Grants Fund,0,0,0,0,0
Office of the Chief Financial Officer,Insurance and Claims Operating Fund,2323823,22738052,5618784,0,30680659
Office of the Chief Financial Officer,Local Improvement District Fund,0,74889,1914794,0,1989683
Office of the Chief Financial Officer,Property Management License Fund,0,9976985,393515,0,10370500
Office of the Chief Financial Officer,Workers' Comp. Self Insurance Operating Fund,2083242,5707127,916424,0,8706793
Office of the City Attorney,General Fund,19084123,990521,2225575,0,22300219
Office of the City Auditor,General Fund,9060683,1690890,3433928,0,14185501
Office of the City Auditor,Public Election Fund,0,0,0,0,0
Office of the Mayor,General Fund,1999329,360973,1136290,0,3496592
Office of the Public Safety DCA,General Fund,18678141,9508549,1279894,0,29466584
Office of the Public Safety DCA,Grants Fund,159570,708200,525,0,868295
Office of the Public Safety DCA,Recreational Cannabis Tax Fund,350000,214790,0,0,564790
Office of Vibrant Communities,Arts Education & Access Fund,0,0,0,0,0
Office of Vibrant Communities,General Fund,0,0,0,0,0
Portland Bureau of Transportation,Grants Fund,13736560,18178921,14311920,56102191,102329592
Portland Bureau of Transportation,Parking Facilities Fund,789093,9027340,420765,0,10237198
Portland Bureau of Transportation,PDX Clean Energy Fund,6275431,10943607,5461032,13423434,36103504
Portland Bureau of Transportation,Recreational Cannabis Tax Fund,246878,316364,330600,0,893842
Portland Bureau of Transportation,Transportation Operating Fund,162920313,61795569,40620039,73840743,339176664
Portland Bureau of Transportation,Transportation Reserve Fund,0,0,0,0,0
Portland Children's Levy,Children's Investment Fund,1538036,25518601,80745,0,27137382
Portland Fire & Rescue,Fire Capital Fund,0,0,0,0,0
Portland Fire & Rescue,Fire Special Revenue Fund,1460000,0,0,0,1460000
Portland Fire & Rescue,General Fund,166471053,9155019,12946370,6500000,195072442
Portland Fire & Rescue,Grants Fund,2377245,220000,0,0,2597245
Portland Housing Bureau,Affordable Housing Fund,741763,25579567,591727,0,26913057
Portland Housing Bureau,Community Development Block Grant Fund,1794432,7314742,410000,0,9519174
Portland Housing Bureau,General Fund,6721588,28305580,1174880,0,36202048
Portland Housing Bureau,Grants Fund,1965731,54878037,294960,0,57138728
Portland Housing Bureau,HOME Grant Fund,436722,15537882,0,0,15974604
Portland Housing Bureau,Housing Investment Fund,2096727,8332289,1227526,0,11656542
Portland Housing Bureau,Housing Property Fund,116130,6035863,355161,0,6507154
Portland Housing Bureau,Inclusionary Housing Fund,1170445,6262856,20873,0,7454174
Portland Housing Bureau,PDX Clean Energy Fund,1139382,28161773,293441,0,29594596
Portland Housing Bureau,Tax Increment Financing Reimbursement Fund,0,38457068,3000,0,38460068
Portland Office of Emergency Management,General Fund,3376834,652176,1401570,0,5430580
Portland Office of Emergency Management,Grants Fund,1392756,2551725,19744,0,3964225
Portland Parks & Recreation,2020 Parks Local Option Levy Fund,0,0,0,0,0
Portland Parks & Recreation,General Fund,112616326,36836874,23271888,2497708,175222796
Portland Parks & Recreation,Golf Fund,4635008,10420701,1300315,0,16356024
Portland Parks & Recreation,Grants Fund,274432,4215786,3152,2792560,7285930
Portland Parks & Recreation,Parks Capital Improvement Program Fund,5329326,28578810,5291669,27328156,66527961
Portland Parks & Recreation,Parks Endowment Fund,0,53184,0,0,53184
Portland Parks & Recreation,PDX Clean Energy Fund,7501325,2652778,1136620,2123450,13414173
Portland Parks & Recreation,Portland International Raceway Fund,1103385,1029970,241060,0,2374415
Portland Parks & Recreation,Portland Parks Memorial Fund,2138608,11368353,4001606,75258,17583825
Portland Permitting & Development,Cannabis Licensing Fund,755396,157965,698813,0,1612174
Portland Permitting & Development,Development Services Fund,50081265,4988320,19850161,0,74919746
Portland Permitting & Development,PDX Clean Energy Fund,3636194,0,0,0,3636194
Portland Permitting & Development,,54472855,5146285,20548974,0,80168114
Portland Police Bureau,General Fund,237318366,14393049,52715243,0,304426658
Portland Police Bureau,Grants Fund,1332996,1563681,459000,0,3355677
Portland Police Bureau,Police Special Revenue Fund,0,8910000,0,0,8910000
Prosper Portland,General Fund,0,13054195,0,0,13054195
Prosper Portland,Recreational Cannabis Tax Fund,0,3120667,0,0,3120667
Special Appropriations,General Fund,227185,8009451,160820,0,8397456
Special Appropriations,Grants Fund,0,1700000,0,0,1700000
Special Appropriations,Public Election Fund,364175,1713334,57968,0,2135477
Water Bureau,Hydroelectric Power Operating Fund,532692,2552272,331593,0,3416557
Water Bureau,Hydroelectric Power Renewal Replacement Fund,0,0,0,0,0
Water Bureau,PDX Clean Energy Fund,0,1438112,0,925000,2363112
Water Bureau,Water Bond Sinking Fund,0,0,0,0,0
Water Bureau,Water Construction Fund,0,0,0,0,0
Water Bureau,Water Fund,107565369,60766195,37747554,644428000,850507118
,Total,1361214288,1568928837,448407914,1122166209,4500717248
